-100 0 0 -0
-94.0135 -11.8133 0.25 -1.41531e-07
-94.0135 11.8133 -0.25 -1.41531e-07
-89.9995 0 0 -0
-86.2966 -22.0351 0.5 -5.20557e-07
-86.2966 22.0351 -0.5 -1.43423e-07
-84.1172 -10.5697 0.25 -5.33074e-07
-84.1172 10.5697 -0.25 -5.33074e-07
-80.0003 0 0 -0
-77.2524 -30.4086 0.749999 -1.56905e-06
-76.7081 -19.5868 0.5 -1.03875e-06
-76.7081 19.5868 -0.5 -1.03875e-06
-77.2524 30.4086 -0.749999 -1.56905e-06
-74.2211 -9.32623 0.25 -7.10609e-07
-74.2211 9.32623 -0.25 -7.10609e-07
-69.9997 0 0 -0
-67.3177 -36.7758 0.999999 -6.43989e-07
-68.1639 -26.8311 0.749999 -1.07474e-06
-67.1196 -17.1384 0.5 -1.27937e-06
-67.1196 17.1384 -0.5 -8.52523e-07
-68.1639 26.8311 -0.749999 -1.07474e-06
-67.3177 36.7758 -0.999999 -6.43989e-07
-64.3251 -8.08273 0.25 -1.09866e-06
-64.3251 8.08273 -0.25 -1.09866e-06
-58.903 -32.1788 0.999999 -1.49143e-06
-59.0754 -23.2536 0.749999 -3.23257e-07
-60.0006 0 0 -0
-59.0754 23.2536 -0.749999 -3.23257e-07
-58.903 32.1788 -0.999999 -1.27345e-06
-56.9391 -41.0807 1.25 -2.11486e-07
-57.531 -14.6901 0.5 -1.60564e-06
-57.531 14.6901 -0.5 -1.60564e-06
-56.9391 41.0807 -1.25 -2.11486e-07
-54.4289 -6.83922 0.25 -1.66177e-06
-54.4289 6.83922 -0.25 -1.66177e-06
-49.3472 -35.6032 1.25 -1.14373e-06
-50.4883 -27.5819 0.999999 -5.9416e-07
-49.9868 -19.6761 0.749999 -1.08395e-06
-50 0 0 -0
-49.9868 19.6761 -0.749999 -1.08395e-06
-50.4883 27.5819 -0.999999 -5.9416e-07
-49.3472 35.6032 -1.25 -1.14373e-06
-46.5498 -43.3655 1.5 -1.66533e-06
-47.9426 -12.2418 0.5 -2.61415e-06
-47.9426 12.2418 -0.5 -2.61415e-06
-46.5498 43.3655 -1.5 -1.33835e-06
-41.7553 -30.1259 1.25 -1.05931e-06
-42.0736 -22.9849 0.999999 -1.00671e-06
-44.5327 -5.59583 0.25 -2.75368e-06
-44.5327 5.59583 -0.25 -2.75368e-06
-42.0736 22.9849 -0.999999 -4.48089e-07
-41.7553 30.1259 -1.25 -1.05931e-06
-39.8998 -37.1705 1.5 -9.47353e-07
-40.8983 -16.0987 0.749999 -1.47384e-06
-38.3541 -9.7934 0.5 -4.71166e-07
-39.9994 0 0 -0
-38.3541 9.7934 -0.5 -4.71166e-07
-40.8983 16.0987 -0.749999 -1.21953e-06
-39.8998 37.1705 -1.5 -9.47353e-07
-36.5481 -43.7634 1.75 -2.93929e-06
-36.5481 43.7634 -1.75 -2.93929e-06
-33.2499 -30.9754 1.5 -1.77324e-06
-34.1635 -24.6483 1.25 -2.71161e-06
-33.6588 -18.388 0.999999 -2.68899e-06
-31.8098 -12.5212 0.749999 -5.7544e-07
-34.6365 -4.35223 0.25 -7.61206e-07
-34.6365 4.35223 -0.25 -7.61206e-07
-31.8098 12.5212 -0.749999 -5.7544e-07
-33.6588 18.388 -0.999999 -2.68899e-06
-34.1635 24.6483 -1.25 -2.71161e-06
-33.2499 30.9754 -1.5 -1.77324e-06
-30.9252 -37.0306 1.75 -8.9016e-07
-28.7655 -7.34502 0.5 -1.8909e-06
-30.0003 0 0 -0
-28.7655 7.34502 -0.5 -1.8909e-06
-30.9252 37.0306 -1.75 -8.9016e-07
-27.2789 -42.4843 2 -2.48002e-07
-25.3024 -30.2977 1.75 -8.98742e-08
-26.5999 -24.7803 1.5 -1.54757e-06
-26.5716 -19.171 1.25 -3.28758e-07
-25.2441 -13.7909 0.999999 -4.69174e-07
-25.2441 13.7909 -0.999999 -4.69174e-07
-26.5716 19.171 -1.25 -3.28758e-07
-26.5999 24.7803 -1.5 -1.54757e-06
-25.3024 30.2977 -1.75 -8.98742e-08
-27.2789 42.4844 -2 -7.85836e-08
-22.7324 -35.4036 2 -1.69869e-06
-22.7213 -8.94365 0.749999 -3.33051e-06
-24.7404 -3.10869 0.25 -4.98517e-06
-24.7404 3.10869 -0.25 -4.98517e-06
-22.7213 8.94365 -0.749999 -3.33051e-06
-22.7324 35.4037 -2 -2.09059e-06
-19.0196 -39.7997 2.25 -4.69187e-06
-19.6797 -23.5649 1.75 -3.84212e-06
-19.9499 -18.5852 1.5 -4.2232e-06
-18.9797 -13.6936 1.25 -1.98967e-07
-19.177 -4.89668 0.5 -5.1443e-07
-19.9997 0 0 -0
-19.177 4.89668 -0.5 -5.1443e-07
-18.9797 13.6936 -1.25 -1.98967e-07
-19.9499 18.5852 -1.5 -4.2232e-06
-19.6797 23.5649 -1.75 -3.84212e-06
-19.0196 39.7997 -2.25 -4.69187e-06
-15.5615 -32.5635 2.25 -2.25694e-06
-18.186 -28.3229 2 -1.21173e-06
-16.8295 -9.19398 0.999999 -3.35506e-07
-16.8295 9.19398 -0.999999 -3.35506e-07
-18.186 28.3229 -2 -1.21173e-06
-15.5615 32.5635 -2.25 -2.25694e-06
-11.9695 -36.0229 2.5 -2.44363e-06
-12.1034 -25.3271 2.25 -6.52981e-06
-13.6395 -21.2422 2 -1.34024e-06
-14.057 -16.8321 1.75 -2.89157e-06
-13.2999 -12.3901 1.5 -3.51628e-06
-13.6327 -5.3662 0.749999 -8.76747e-07
-14.8442 -1.86522 0.25 -4.5229e-06
-14.8442 1.8652 -0.25 -6.5468e-06
-13.6327 5.3662 -0.749999 -8.76747e-07
-13.2999 12.3901 -1.5 -3.51628e-06
-14.057 16.8321 -1.75 -2.89157e-06
-13.6395 21.2422 -2 -1.34024e-06
-12.1034 25.3271 -2.25 -6.52981e-06
-11.9695 36.0229 -2.5 -2.44363e-06
-9.5755 -28.8183 2.5 -3.53071e-06
